sr_pcode,state_region,ts_pcode,township,ward_pcode,ward,ward_mya_mm3
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002701504,(Ga Gyi) Ward,(ဃ) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002701503,(Ga Nge) Ward,(ဂ) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002701501,(Ka Gyi) Ward,(က) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002701502,(Kha Gway) Ward,(ခ) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002702502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002702503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002702504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002702505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002703501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002703502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002703503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003002,Hlaingbwe,MMR003002703504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701505,Aung Nan Min Ga Lar Ward,အောင်နန်းမင်္ဂလာရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701507,Htaung Wi Ward,ထောင်ဝိရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701503,Ku Seik Ward,ကူးဆိပ်ရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701506,Pyi Htaung Su Ward,ပြည်ထောင်စုရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701501,Tharyet Taw/Myaing Tha Zin/ Kyar Inn Ward,သရက်တော၊ မြိုင်သဇင်၊ ကြာအင်းရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701508,Ya Da Nar Di Pa Ward,ရတနာဒီပရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701502,Zay Tan Ward,ဈေးတန်းရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701504,Zee Taw Ward,ဇီးတောရပ်ကွက်
MMR003,Kayin,MMR003001,Hpa-An,MMR003001701509,Zwe Man Lwin Ward,ဇွဲမာန်လွင်ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003701501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003701502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003701503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003701504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003702502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003702503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003003,Hpapun,MMR003003702504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701504,Ah Htet Taung Thu Su Ward,အထက်တောင်သူစုရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701503,Ah Lel Tan Ward,အလယ်တန်းရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701506,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701505,Auk Taung Thu Su Ward,အောက်တောင်သူစုရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701501,Chaung Taung Ward,ချောင်းတောင်ရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701507,Ta Dar U Ward,တံတားဦးရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006701502,Win Gyi Ward,ဝင်းကြီးရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006702502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006702503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003006,Kawkareik,MMR003006702504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007702502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007702503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007702504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007703506,No (6) Ward,အမှတ် (၆) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR003,Kayin,MMR003007,Kyainseikgyi,MMR003007701506,No (6) Ward,အမှတ် (၆) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701506,No (6) Ward,အမှတ် (၆) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005701507,No (7) Ward,အမှတ် (၇) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005703501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003005,Myawaddy,MMR003005703502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004704501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004704502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004704503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004704504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004703506,No (6) Ward,အမှတ် (၆) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004702501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004702502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004702503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004702504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004701501,No (1) Ward,အမှတ် (၁) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004701502,No (2) Ward,အမှတ် (၂) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004701503,No (3) Ward,အမှတ် (၃) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004701504,No (4) Ward,အမှတ် (၄) ရပ်ကွက်
MMR003,Kayin,MMR003004,Thandaunggyi,MMR003004701505,No (5) Ward,အမှတ် (၅) ရပ်ကွက်
MMR002,Kayah,MMR002005,Bawlake,MMR002005701501,Kayah Paing Ward,ကယားပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002005,Bawlake,MMR002005701502,Shan Paing Ward,ရှမ်းပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002005,Bawlake,MMR002005702501,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002005,Bawlake,MMR002005702502,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002002,Demoso,MMR002002701501,Demoso Myo Ma Ward,ဒီမောဆိုမြို့မရပ်ကွက်
MMR002,Kayah,MMR002006,Hpasawng,MMR002006701501,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002006,Hpasawng,MMR002006701502,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002003,Hpruso,MMR002003701504,Dee Dar Ku Ward,ဒီးဒါးကူးရပ်ကွက်
MMR002,Kayah,MMR002003,Hpruso,MMR002003701503,Htee Ku Ward,ထီးကူးဆိုရပ်ကွက်
MMR002,Kayah,MMR002003,Hpruso,MMR002003701502,Htee Ta Ye Ward,ထီးတရဲရပ်ကွက်
MMR002,Kayah,MMR002003,Hpruso,MMR002003701505,Law Bu Dar Ward,လောဘူးဒါးရပ်ကွက်
MMR002,Kayah,MMR002003,Hpruso,MMR002003701501,Nyaung Zin Ward,ညောင်ဇင်ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701517,Aye Ka Ngar Yar Ward,ဧက (၅၀ဝ)ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701503,Daw Au Khu Ward,ဒေါအူခူရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701511,Daw Noe Ku Ward,ဒေါနိုးကူးရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701510,Daw Tan Ma Ward,ဒေါတမ္မရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701506,Dhammar Yon Ward,ဓမ္မာရုံရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701518,Htay Tha Ma Ward,ထေးသမရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701509,Law Da Ma Ward,လောဓမ္မရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701504,Maing Lone Ward,မိုင်းလုံးရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701505,Min Ga Lar Ward,မင်္ဂလာရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701513,Min Su Ward,မင်းစုရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701515,Nam Baw Wan (Ka) Ward,နမ်းဘောဝမ် (က)ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701516,Nam Baw Wan (Kha) Ward,နမ်းဘောဝမ် (ခ)ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701519,Nant Kut Ward,နမ့်ကွတ်ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701514,Nar Nat Taw Ward,နာနတ်တောရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701502,Naung Yar (Kha Gway) Ward,နောင်ယား(ခ)ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701501,Naung Yar(Ka Gyi) Ward,နောင်ယား(က)ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701512,Shan Su Ward,ရှမ်းစုရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701508,Shwe Taung Ward,ရွှေတောင်ရပ်ကွက်
MMR002,Kayah,MMR002001,Loikaw,MMR002001701507,Zay Paing Ward,ဈေးပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002007,Mese,MMR002007701501,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002007,Mese,MMR002007701502,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002004,Shadaw,MMR002004701504,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002004,Shadaw,MMR002004701501,Aung Chan Thar Ward,အောင်ချမ်းသာရပ်ကွက်
MMR002,Kayah,MMR002004,Shadaw,MMR002004701503,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်
MMR002,Kayah,MMR002004,Shadaw,MMR002004701502,Zay Paing Ward,ဈေးပိုင်းရပ်ကွက်
